Unnamed: 0,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
14,Black Blazer Sweater,1.0,,,,1.0,3.0,,3,2,3,1.0,2.0,5.0,8.0,2.0,2.0,,,6.0,11.0,6.0,3.0,12/23/18,43,Nordstrom Rack,Fast Fashion,,,sweater,mid sleeve,,,Outerwear
15,Grey Oversized Poncho Sweater,2.0,1.0,,,,1.0,,2,1,1,,,2.0,,,,,,,2.0,,2.0,1/1/2016,15,Modcloth/Online,Fast Fashion,,,sweater,mid sleeve,,,Outerwear
16,Grey Cashmere Crop Sweater,1.0,1.0,,,,,,1,,5,1.0,2.0,2.0,,,,,,,,,1.0,8/1/2018,0,Rachel,Hand-me-down,,,sweater,mid sleeve,,,Outerwear
17,Black Striped Osei-Duro Coat,3.0,3.0,,,1.0,,,9,5,7,3.0,16.0,1.0,,,,,,,,,,10/28/2019,58,TheRealReal/Osei-Duro,Secondhand,,,coat/jacket,long sleeve,,,Outerwear
18,Black Silky Coat,,,,,1.0,2.0,,1,,,2.0,,,,,,,,,,,,12/23/2019,11,Goodwill,Secondhand,,,coat/jacket,long sleeve,,,Outerwear
19,Green Trenchcoat,1.0,,,,,,,,,4,1.0,,,,,,,,,,,,12/23/2019,11,Goodwill,Secondhand,,,coat/jacket,long sleeve,,,Outerwear
20,Black London Fog Coat,,,,,,,,3,10,6,6.0,4.0,,,,,,,3.0,15.0,20.0,14.0,2/1/2018,70,SteinMart,Fast Fashion,,,coat/jacket,long sleeve,,,Outerwear
21,Grey Puffer Coat,,,,,,,,1,9,9,11.0,3.0,,,,,,,,1.0,2.0,10.0,2/1/2018,70,SteinMart,Fast Fashion,,,coat/jacket,long sleeve,,,Outerwear
22,Peru Alpaca Sweater,,,,,,,,,,,,,,,,,,,,,,,12/27/2019,0,Poppee,Secondhand,,,sweater,long sleeve,,,Outerwear
23,Ugly Christmas Sweater,,,,,,,,,,,1.0,,,,,,,,,,,,12/1/2018,20,Target,Fast Fashion,,,sweater,long sleeve,,,Outerwear
